0000..001f    ; Cc
19da..19dd    ; Cn
19de..19df    ; Po
19e0..19ff    ; So
1a00..1a16    ; Lo
1a17..1a18    ; Mn
1a19..1a1b    ; Mc
1a1c..1a1d    ; Cn
1a1e..1a1f    ; Po
1a20..1aff    ; Cn
1b00..1b03    ; Mn
1b04          ; Mc
1b05..1b33    ; Lo
1b34          ; Mn
1b35          ; Mc
1b36..1b3a    ; Mn
1b3b          ; Mc
1b3c          ; Mn
1b3d..1b41    ; Mc
1b42          ; Mn
1b43..1b44    ; Mc
1b45..1b4b    ; Lo
1b4c..1b4f    ; Cn
1b50..1b59    ; Nd
1b5a..1b60    ; Po
1b61..1b6a    ; So
1b6b..1b73    ; Mn
1b74..1b7c    ; So
1b7d..1cff    ; Cn
1d00..1d2b    ; Ll
1d2c..1d61    ; Lm
1d62..1d77    ; Ll
1d78          ; Lm
1d79..1d9a    ; Ll
1d9b..1dbf    ; Lm
1dc0..1dca    ; Mn
1dcb..1dfd    ; Cn
1dfe..1dff    ; Mn
1e00          ; Lu
1e01          ; Ll
1e02          ; Lu
1e03          ; Ll
1e04          ; Lu
1e05          ; Ll
1e06          ; Lu
1e07          ; Ll
1e08          ; Lu
1e09          ; Ll
1e0a          ; Lu
1e0b          ; Ll
1e0c          ; Lu
1e0d          ; Ll
1e0e          ; Lu
1e0f          ; Ll
1e10          ; Lu
1e11          ; Ll
1e12          ; Lu
1e13          ; Ll
1e14          ; Lu
1e15          ; Ll
1e16          ; Lu
1e17          ; Ll
1e18          ; Lu
1e19          ; Ll
1e1a          ; Lu
1e1b          ; Ll
1e1c          ; Lu
1e1d          ; Ll
1e1e          ; Lu
1e1f          ; Ll
1e20          ; Lu
1e21          ; Ll
1e22          ; Lu
1e23          ; Ll
1e24          ; Lu
1e25          ; Ll
1e26          ; Lu
1e27          ; Ll
1e28          ; Lu
1e29          ; Ll
1e2a          ; Lu
1e2b          ; Ll
1e2c          ; Lu
1e2d          ; Ll
1e2e          ; Lu
1e2f          ; Ll
1e30          ; Lu
1e31          ; Ll
1e32          ; Lu
1e33          ; Ll
1e34          ; Lu
1e35          ; Ll
1e36          ; Lu
1e37          ; Ll
1e38          ; Lu
1e39          ; Ll
1e3a          ; Lu
1e3b          ; Ll
1e3c          ; Lu
1e3d          ; Ll
1e3e          ; Lu
1e3f          ; Ll
1e40          ; Lu
1e41          ; Ll
1e42          ; Lu
1e43          ; Ll
1e44          ; Lu
1e45          ; Ll
1e46          ; Lu
1e47          ; Ll
1e48          ; Lu
1e49          ; Ll
1e4a          ; Lu
1e4b          ; Ll
1e4c          ; Lu
1e4d          ; Ll
1e4e          ; Lu
1e4f          ; Ll
1e50          ; Lu
1e51          ; Ll
1e52          ; Lu
1e53          ; Ll
1e54          ; Lu
1e55          ; Ll
1e56          ; Lu
1e57          ; Ll
1e58          ; Lu
1e59          ; Ll
1e5a          ; Lu
1e5b          ; Ll
1e5c          ; Lu
1e5d          ; Ll
1e5e          ; Lu
1e5f          ; Ll
1e60          ; Lu
1e61          ; Ll
1e62          ; Lu
1e63          ; Ll
1e64          ; Lu
1e65          ; Ll
1e66          ; Lu
1e67          ; Ll
1e68          ; Lu
1e69          ; Ll
1e6a          ; Lu
1e6b          ; Ll
1e6c          ; Lu
1e6d          ; Ll
1e6e          ; Lu
1e6f          ; Ll
1e70          ; Lu
1e71          ; Ll
1e72          ; Lu
1e73          ; Ll
1e74          ; Lu
1e75          ; Ll
1e76          ; Lu
1e77          ; Ll
1e78          ; Lu
1e79          ; Ll
1e7a          ; Lu
1e7b          ; Ll
1e7c          ; Lu
1e7d          ; Ll
1e7e          ; Lu
1e7f          ; Ll
1e80          ; Lu
1e81          ; Ll
1e82          ; Lu
1e83          ; Ll
1e84          ; Lu
1e85          ; Ll
1e86          ; Lu
1e87          ; Ll
1e88          ; Lu
1e89          ; Ll
1e8a          ; Lu
1e8b          ; Ll
1e8c          ; Lu
1e8d          ; Ll
1e8e          ; Lu
1e8f          ; Ll
1e90          ; Lu
1e91          ; Ll
1e92          ; Lu
1e93          ; Ll
1e94          ; Lu
1e95..1e9b    ; Ll
1e9c..1e9f    ; Cn
1ea0          ; Lu
1ea1          ; Ll
1ea2          ; Lu
1ea3          ; Ll
1ea4          ; Lu
1ea5          ; Ll
1ea6          ; Lu
1ea7          ; Ll
1ea8          ; Lu
1ea9          ; Ll
1eaa          ; Lu
1eab          ; Ll
1eac          ; Lu
1ead          ; Ll
1eae          ; Lu
1eaf          ; Ll
1eb0          ; Lu
1eb1          ; Ll
1eb2          ; Lu
1eb3          ; Ll
1eb4          ; Lu
1eb5          ; Ll
1eb6          ; Lu
1eb7          ; Ll
1eb8          ; Lu
1eb9          ; Ll
1eba          ; Lu
1ebb          ; Ll
1ebc          ; Lu
1ebd          ; Ll
1ebe          ; Lu
1ebf          ; Ll
1ec0          ; Lu
1ec1          ; Ll
1ec2          ; Lu
1ec3          ; Ll
1ec4          ; Lu
1ec5          ; Ll
1ec6          ; Lu
1ec7          ; Ll
1ec8          ; Lu
1ec9          ; Ll
1eca          ; Lu
1ecb          ; Ll
1ecc          ; Lu
1ecd          ; Ll
1ece          ; Lu
1ecf          ; Ll
1ed0          ; Lu
1ed1          ; Ll
1ed2          ; Lu
1ed3          ; Ll
1ed4          ; Lu
1ed5          ; Ll
1ed6          ; Lu
1ed7          ; Ll
1ed8          ; Lu
1ed9          ; Ll
1eda          ; Lu
1edb          ; Ll
1edc          ; Lu
1edd          ; Ll
1ede          ; Lu
1edf          ; Ll
1ee0          ; Lu
1ee1          ; Ll
1ee2          ; Lu
1ee3          ; Ll
1ee4          ; Lu
1ee5          ; Ll
1ee6          ; Lu
1ee7          ; Ll
1ee8          ; Lu
1ee9          ; Ll
1eea          ; Lu
1eeb          ; Ll
1eec          ; Lu
1eed          ; Ll
1eee          ; Lu
1eef          ; Ll
1ef0          ; Lu
1ef1          ; Ll
1ef2          ; Lu
1ef3          ; Ll
1ef4          ; Lu
1ef5          ; Ll
1ef6          ; Lu
1ef7          ; Ll
1ef8          ; Lu
1ef9          ; Ll
1efa..1eff    ; Cn
1f00..1f07    ; Ll
1f08..1f0f    ; Lu
1f10..1f15    ; Ll
1f16..1f17    ; Cn
1f18..1f1d    ; Lu
1f1e..1f1f    ; Cn
1f20..1f27    ; Ll
1f28..1f2f    ; Lu
1f30..1f37    ; Ll
1f38..1f3f    ; Lu
1f40..1f45    ; Ll
1f46..1f47    ; Cn
1f48..1f4d    ; Lu
1f4e..1f4f    ; Cn
1f50..1f57    ; Ll
1f58          ; Cn
1f59          ; Lu
1f5a          ; Cn
1f5b          ; Lu
1f5c          ; Cn
1f5d          ; Lu
1f5e          ; Cn
1f5f          ; Lu
1f60..1f67    ; Ll
1f68..1f6f    ; Lu
1f70..1f7d    ; Ll
1f7e..1f7f    ; Cn
1f80..1f87    ; Ll
1f88..1f8f    ; Lt
1f90..1f97    ; Ll
1f98..1f9f    ; Lt
1fa0..1fa7    ; Ll
1fa8..1faf    ; Lt
1fb0..1fb4    ; Ll
1fb5          ; Cn
1fb6..1fb7    ; Ll
1fb8..1fbb    ; Lu
1fbc          ; Lt
1fbd          ; Sk
1fbe          ; Ll
1fbf..1fc1    ; Sk
1fc2..1fc4    ; Ll
1fc5          ; Cn
1fc6..1fc7    ; Ll
1fc8..1fcb    ; Lu
1fcc          ; Lt
1fcd..1fcf    ; Sk
1fd0..1fd3    ; Ll
1fd4..1fd5    ; Cn
1fd6..1fd7    ; Ll
1fd8..1fdb    ; Lu
1fdc          ; Cn
1fdd..1fdf    ; Sk
1fe0..1fe7    ; Ll
1fe8..1fec    ; Lu
1fed..1fef    ; Sk
1ff0..1ff1    ; Cn
1ff2..1ff4    ; Ll
1ff5          ; Cn
1ff6..1ff7    ; Ll
1ff8..1ffb    ; Lu
1ffc          ; Lt
1ffd..1ffe    ; Sk
1fff          ; Cn
2000..200a    ; Zs
200b..200f    ; Cf
2010..2015    ; Pd
2016..2017    ; Po
2018          ; Pi
2019          ; Pf
201a          ; Ps
201b..201c    ; Pi
201d          ; Pf
201e          ; Ps
201f          ; Pi
2020..2027    ; Po
2028          ; Zl
2029          ; Zp
202a..202e    ; Cf
202f          ; Zs
2030..2038    ; Po
2039          ; Pi
203a          ; Pf
203b..203e    ; Po
203f..2040    ; Pc
2041..2043    ; Po
2044          ; Sm
2045          ; Ps
2046          ; Pe
2047..2051    ; Po
2052          ; Sm
2053          ; Po
2054          ; Pc
2055..205e    ; Po
205f          ; Zs
2060..2063    ; Cf
2064..2069    ; Cn
206a..206f    ; Cf
2070          ; No
2071          ; Ll
2072..2073    ; Cn
2074..2079    ; No
207a..207c    ; Sm
207d          ; Ps
207e          ; Pe
207f          ; Ll
2080..2089    ; No
208a..208c    ; Sm
208d          ; Ps
208e          ; Pe
208f          ; Cn
2090..2094    ; Lm
2095..209f    ; Cn
20a0..20b5    ; Sc
20b6..20cf    ; Cn
20d0..20dc    ; Mn
20dd..20e0    ; Me
20e1          ; Mn
20e2..20e4    ; Me
20e5..20ef    ; Mn
20f0..20ff    ; Cn
2100..2101    ; So
2102          ; Lu
2103..2106    ; So
2107          ; Lu
2108..2109    ; So
210a          ; Ll
210b..210d    ; Lu
210e..210f    ; Ll
2110..2112    ; Lu
2113          ; Ll
2114          ; So
2115          ; Lu
2116..2118    ; So
2119..211d    ; Lu
211e..2123    ; So
2124          ; Lu
2125          ; So
2126          ; Lu
2127          ; So
2128          ; Lu
2129          ; So
212a..212d    ; Lu
212e          ; So
212f          ; Ll
2130..2133    ; Lu
2134          ; Ll
2135..2138    ; Lo
2139          ; Ll
213a..213b    ; So
213c..213d    ; Ll
213e..213f    ; Lu
2140..2144    ; Sm
2145          ; Lu
2146..2149    ; Ll
214a          ; So
214b          ; Sm
214c..214d    ; So
214e          ; Ll
214f..2152    ; Cn
2153..215f    ; No
2160..2182    ; Nl
2183          ; Lu
2184          ; Ll
2185..218f    ; Cn
2190..2194    ; Sm
2195..2199    ; So
219a..219b    ; Sm
219c..219f    ; So
21a0          ; Sm
21a1..21a2    ; So
21a3          ; Sm
21a4..21a5    ; So
21a6          ; Sm
21a7..21ad    ; So
21ae          ; Sm
21af..21cd    ; So
21ce..21cf    ; Sm
21d0..21d1    ; So
21d2          ; Sm
21d3          ; So
21d4          ; Sm
21d5..21f3    ; So
21f4..22ff    ; Sm
2300..2307    ; So
2308..230b    ; Sm
230c..231f    ; So
2320..2321    ; Sm
2322..2328    ; So
2329          ; Ps
232a          ; Pe
232b..237b    ; So
237c          ; Sm
237d..239a    ; So
239b..23b3    ; Sm
23b4..23db    ; So
23dc..23e1    ; Sm
23e2..23e7    ; So
23e8..23ff    ; Cn
2400..2426    ; So
2427..243f    ; Cn
2440..244a    ; So
244b..245f    ; Cn
2460..249b    ; No
249c..24e9    ; So
24ea..24ff    ; No
2500..25b6    ; So
25b7          ; Sm
25b8..25c0    ; So
25c1          ; Sm
25c2..25f7    ; So
25f8..25ff    ; Sm
2600..266e    ; So
266f          ; Sm
2670..269c    ; So
269d..269f    ; Cn
26a0..26b2    ; So
26b3..2700    ; Cn
2701..2704    ; So
2705          ; Cn
2706..2709    ; So
270a..270b    ; Cn
270c..2727    ; So
2728          ; Cn
2729..274b    ; So
274c          ; Cn
274d          ; So
274e          ; Cn
274f..2752    ; So
2753..2755    ; Cn
2756          ; So
2757          ; Cn
2758..275e    ; So
275f..2760    ; Cn
2761..2767    ; So
2768          ; Ps
2769          ; Pe
276a          ; Ps
276b          ; Pe
276c          ; Ps
276d          ; Pe
276e          ; Ps
276f          ; Pe
2770          ; Ps
2771          ; Pe
2772          ; Ps
2773          ; Pe
2774          ; Ps
2775          ; Pe
2776..2793    ; No
2794          ; So
2795..2797    ; Cn
2798..27af    ; So
27b0          ; Cn
27b1..27be    ; So
27bf          ; Cn
27c0..27c4    ; Sm
27c5          ; Ps
27c6          ; Pe
27c7..27ca    ; Sm
27cb..27cf    ; Cn
27d0..27e5    ; Sm
27e6          ; Ps
27e7          ; Pe
27e8          ; Ps
27e9          ; Pe
27ea          ; Ps
27eb          ; Pe
27ec..27ef    ; Cn
27f0..27ff    ; Sm
2800..28ff    ; So
2900..2982    ; Sm
2983          ; Ps
2984          ; Pe
2985          ; Ps
2986          ; Pe
2987          ; Ps
2988          ; Pe
2989          ; Ps
298a          ; Pe
298b          ; Ps
298c          ; Pe
298d          ; Ps
298e          ; Pe
298f          ; Ps
2990          ; Pe
2991          ; Ps
2992          ; Pe
2993          ; Ps
2994          ; Pe
2995          ; Ps
2996          ; Pe
2997          ; Ps
2998          ; Pe
2999..29d7    ; Sm
29d8          ; Ps
29d9          ; Pe
29da          ; Ps
29db          ; Pe
29dc..29fb    ; Sm
29fc          ; Ps
29fd          ; Pe
29fe..2aff    ; Sm
2b00..2b1a    ; So
2b1b..2b1f    ; Cn
2b20..2b23    ; So
2b24..2bff    ; Cn
2c00..2c2e    ; Lu
2c2f          ; Cn
2c30..2c5e    ; Ll
2c5f          ; Cn
2c60          ; Lu
2c61          ; Ll
2c62..2c64    ; Lu
2c65..2c66    ; Ll
2c67          ; Lu
2c68          ; Ll
2c69          ; Lu
2c6a          ; Ll
2c6b          ; Lu
2c6c          ; Ll
2c6d..2c73    ; Cn
2c74          ; Ll
2c75          ; Lu
2c76..2c77    ; Ll
2c78..2c7f    ; Cn
2c80          ; Lu
2c81          ; Ll
2c82          ; Lu
2c83          ; Ll
2c84          ; Lu
2c85          ; Ll
2c86          ; Lu
2c87          ; Ll
2c88          ; Lu
2c89          ; Ll
2c8a          ; Lu
2c8b          ; Ll
2c8c          ; Lu
2c8d          ; Ll
2c8e          ; Lu
2c8f          ; Ll
2c90          ; Lu
2c91          ; Ll
2c92          ; Lu
2c93          ; Ll
2c94          ; Lu
2c95          ; Ll
2c96          ; Lu
2c97          ; Ll
2c98          ; Lu
2c99          ; Ll
2c9a          ; Lu
2c9b          ; Ll
2c9c          ; Lu
2c9d          ; Ll
2c9e          ; Lu
2c9f          ; Ll
2ca0          ; Lu
2ca1          ; Ll
2ca2          ; Lu
2ca3          ; Ll
2ca4          ; Lu
2ca5          ; Ll
2ca6          ; Lu
2ca7          ; Ll
2ca8          ; Lu
2ca9          ; Ll
2caa          ; Lu
2cab          ; Ll
2cac          ; Lu
2cad          ; Ll
2cae          ; Lu
2caf          ; Ll
2cb0          ; Lu
2cb1          ; Ll
2cb2          ; Lu
2cb3          ; Ll
2cb4          ; Lu
2cb5          ; Ll
2cb6          ; Lu
2cb7          ; Ll
2cb8          ; Lu
2cb9          ; Ll
2cba          ; Lu
2cbb          ; Ll
2cbc          ; Lu
2cbd          ; Ll
2cbe          ; Lu
2cbf          ; Ll
2cc0          ; Lu
2cc1          ; Ll
2cc2          ; Lu
2cc3          ; Ll
2cc4          ; Lu
2cc5          ; Ll
2cc6          ; Lu
2cc7          ; Ll
2cc8          ; Lu
2cc9          ; Ll
2cca          ; Lu
2ccb          ; Ll
2ccc          ; Lu
2ccd          ; Ll
2cce          ; Lu
2ccf          ; Ll
2cd0          ; Lu
2cd1          ; Ll
2cd2          ; Lu
2cd3          ; Ll
2cd4          ; Lu
2cd5          ; Ll
2cd6          ; Lu
2cd7          ; Ll
2cd8          ; Lu
2cd9          ; Ll
2cda          ; Lu
2cdb          ; Ll
2cdc          ; Lu
2cdd          ; Ll
2cde          ; Lu
2cdf          ; Ll
2ce0          ; Lu
2ce1          ; Ll
2ce2          ; Lu
2ce3..2ce4    ; Ll
2ce5..2cea    ; So
2ceb..2cf8    ; Cn
2cf9..2cfc    ; Po
2cfd          ; No
2cfe..2cff    ; Po
2d00..2d25    ; Ll
2d26..2d2f    ; Cn
2d30..2d65    ; Lo
2d66..2d6e    ; Cn
2d6f          ; Lm
2d70..2d7f    ; Cn
2d80..2d96    ; Lo
2d97..2d9f    ; Cn
2da0..2da6    ; Lo
2da7          ; Cn
2da8..2dae    ; Lo
2daf          ; Cn
2db0..2db6    ; Lo
2db7          ; Cn
2db8..2dbe    ; Lo
2dbf          ; Cn
2dc0..2dc6    ; Lo
2dc7          ; Cn
2dc8..2dce    ; Lo
2dcf          ; Cn
2dd0..2dd6    ; Lo
2dd7          ; Cn
2dd8..2dde    ; Lo
2ddf..2dff    ; Cn
2e00..2e01    ; Po
2e02          ; Pi
2e03          ; Pf
2e04          ; Pi
2e05          ; Pf
2e06..2e08    ; Po
2e09          ; Pi
2e0a          ; Pf
2e0b          ; Po
2e0c          ; Pi
2e0d          ; Pf
2e0e..2e16    ; Po
2e17          ; Pd
2e18..2e1b    ; Cn
2e1c          ; Pi
2e1d          ; Pf
2e1e..2e7f    ; Cn
2e80..2e99    ; So
2e9a          ; Cn
2e9b..2ef3    ; So
2ef4..2eff    ; Cn
2f00..2fd5    ; So
2fd6..2fef    ; Cn
2ff0..2ffb    ; So
2ffc..2fff    ; Cn
3000          ; Zs
3001..3003    ; Po
3004          ; So
3005          ; Lm
3006          ; Lo
3007          ; Nl
3008          ; Ps
3009          ; Pe
300a          ; Ps
300b          ; Pe
300c          ; Ps
300d          ; Pe
300e          ; Ps
300f          ; Pe
3010          ; Ps
3011          ; Pe
3012..3013    ; So
3014          ; Ps
3015          ; Pe
3016          ; Ps
3017          ; Pe
3018          ; Ps
3019          ; Pe
301a          ; Ps
301b          ; Pe
301c          ; Pd
301d          ; Ps
301e..301f    ; Pe
3020          ; So
3021..3029    ; Nl
302a..302f    ; Mn
3030          ; Pd
3031..3035    ; Lm
3036..3037    ; So
3038..303a    ; Nl
303b          ; Lm
303c          ; Lo
303d          ; Po
303e..303f    ; So
3040          ; Cn
3041..3096    ; Lo
3097..3098    ; Cn
3099..309a    ; Mn
309b..309c    ; Sk
309d..309e    ; Lm
309f          ; Lo
30a0          ; Pd
30a1..30fa    ; Lo
30fb          ; Po
30fc..30fe    ; Lm
30ff          ; Lo
3100..3104    ; Cn
3105..312c    ; Lo
312d..3130    ; Cn
3131..318e    ; Lo
318f          ; Cn
3190..3191    ; So
3192..3195    ; No
3196..319f    ; So
31a0..31b7    ; Lo
31b8..31bf    ; Cn
31c0..31cf    ; So
31d0..31ef    ; Cn
31f0..31ff    ; Lo
3200..321e    ; So
321f          ; Cn
3220..3229    ; No
322a..3243    ; So
3244..324f    ; Cn
3250          ; So
3251..325f    ; No
3260..327f    ; So
3280..3289    ; No
328a..32b0    ; So
32b1..32bf    ; No
32c0..32fe    ; So
32ff          ; Cn
3300..33ff    ; So
3400..4db5    ; Lo
4db6..4dbf    ; Cn
4dc0..4dff    ; So
4e00..9fbb    ; Lo
9fbc..9fff    ; Cn
a000..a014    ; Lo
a015          ; Lm
a016..a48c    ; Lo
a48d..a48f    ; Cn
a490..a4c6    ; So
a4c7..a6ff    ; Cn
a700..a716    ; Sk
a717..a71a    ; Lm
a71b..a71f    ; Cn
a720..a721    ; Sk
a722..a7ff    ; Cn
a800..a801    ; Lo
a802          ; Mc
a803..a805    ; Lo
a806          ; Mn
a807..a80a    ; Lo
a80b          ; Mn
a80c..a822    ; Lo
a823..a824    ; Mc
a825..a826    ; Mn
a827          ; Mc
a828..a82b    ; So
a82c..a83f    ; Cn
a840..a873    ; Lo
a874..a877    ; Po
a878..abff    ; Cn
ac00..d7a3    ; Lo
d7a4..d7ff    ; Cn
d800..dfff    ; Cs
e000..f8ff    ; Co
f900..fa2d    ; Lo
fa2e..fa2f    ; Cn
fa30..fa6a    ; Lo
fa6b..fa6f    ; Cn
fa70..fad9    ; Lo
fada..faff    ; Cn
fb00..fb06    ; Ll
fb07..fb12    ; Cn
fb13..fb17    ; Ll
fb18..fb1c    ; Cn
fb1d          ; Lo
fb1e          ; Mn
fb1f..fb28    ; Lo
fb29          ; Sm
fb2a..fb36    ; Lo
fb37          ; Cn
fb38..fb3c    ; Lo
fb3d          ; Cn
fb3e          ; Lo
fb3f          ; Cn
fb40..fb41    ; Lo
fb42          ; Cn
fb43..fb44    ; Lo
fb45          ; Cn
fb46..fbb1    ; Lo
fbb2..fbd2    ; Cn
fbd3..fd3d    ; Lo
fd3e          ; Ps
fd3f          ; Pe
fd40..fd4f    ; Cn
fd50..fd8f    ; Lo
fd90..fd91    ; Cn
fd92..fdc7    ; Lo
fdc8..fdef    ; Cn
fdf0..fdfb    ; Lo
fdfc          ; Sc
fdfd          ; So
fdfe..fdff    ; Cn
fe00..fe0f    ; Mn
fe10..fe16    ; Po
fe17          ; Ps
fe18          ; Pe
fe19          ; Po
fe1a..fe1f    ; Cn
fe20..fe23    ; Mn
fe24..fe2f    ; Cn
fe30          ; Po
fe31..fe32    ; Pd
fe33..fe34    ; Pc
fe35          ; Ps
fe36          ; Pe
fe37          ; Ps
fe38          ; Pe
fe39          ; Ps
fe3a          ; Pe
fe3b          ; Ps
fe3c          ; Pe
fe3d          ; Ps
fe3e          ; Pe
fe3f          ; Ps
fe40          ; Pe
fe41          ; Ps
fe42          ; Pe
fe43          ; Ps
fe44          ; Pe
fe45..fe46    ; Po
fe47          ; Ps
fe48          ; Pe
fe49..fe4c    ; Po
fe4d..fe4f    ; Pc
fe50..fe52    ; Po
fe53          ; Cn
fe54..fe57    ; Po
fe58          ; Pd
fe59          ; Ps
fe5a          ; Pe
fe5b          ; Ps
fe5c          ; Pe
fe5d          ; Ps
fe5e          ; Pe
fe5f..fe61    ; Po
fe62          ; Sm
fe63          ; Pd
fe64..fe66    ; Sm
fe67          ; Cn
fe68          ; Po
fe69          ; Sc
fe6a..fe6b    ; Po
fe6c..fe6f    ; Cn
fe70..fe74    ; Lo
fe75          ; Cn
fe76..fefc    ; Lo
fefd..fefe    ; Cn
feff          ; Cf
ff00          ; Cn
ff01..ff03    ; Po
ff04          ; Sc
ff05..ff07    ; Po
ff08          ; Ps
ff09          ; Pe
ff0a          ; Po
ff0b          ; Sm
ff0c          ; Po
ff0d          ; Pd
ff0e..ff0f    ; Po
ff10..ff19    ; Nd
ff1a..ff1b    ; Po
ff1c..ff1e    ; Sm
ff1f..ff20    ; Po
ff21..ff3a    ; Lu
ff3b          ; Ps
ff3c          ; Po
ff3d          ; Pe
ff3e          ; Sk
ff3f          ; Pc
ff40          ; Sk
ff41..ff5a    ; Ll
ff5b          ; Ps
ff5c          ; Sm
ff5d          ; Pe
ff5e          ; Sm
ff5f          ; Ps
ff60          ; Pe
ff61          ; Po
ff62          ; Ps
ff63          ; Pe
ff64..ff65    ; Po
ff66..ff6f    ; Lo
ff70          ; Lm
ff71..ff9d    ; Lo
ff9e..ff9f    ; Lm
ffa0..ffbe    ; Lo
ffbf..ffc1    ; Cn
ffc2..ffc7    ; Lo
ffc8..ffc9    ; Cn
ffca..ffcf    ; Lo
ffd0..ffd1    ; Cn
ffd2..ffd7    ; Lo
ffd8..ffd9    ; Cn
ffda..ffdc    ; Lo
ffdd..ffdf    ; Cn
ffe0..ffe1    ; Sc
ffe2          ; Sm
ffe3          ; Sk
ffe4          ; So
ffe5..ffe6    ; Sc
ffe7          ; Cn
ffe8          ; So
ffe9..ffec    ; Sm
ffed..ffee    ; So
ffef..fff8    ; Cn
fff9..fffb    ; Cf
fffc..fffd    ; So
fffe..ffff    ; Cn
10000..1000b  ; Lo
1000c         ; Cn
1000d..10026  ; Lo
10027         ; Cn
10028..1003a  ; Lo
1003b         ; Cn
1003c..1003d  ; Lo
1003e         ; Cn
1003f..1004d  ; Lo
1004e..1004f  ; Cn
10050..1005d  ; Lo
1005e..1007f  ; Cn
10080..100fa  ; Lo
100fb..100ff  ; Cn
10100..10101  ; Po
10102         ; So
10103..10106  ; Cn
10107..10133  ; No
10134..10136  ; Cn
10137..1013f  ; So
10140..10174  ; Nl
10175..10178  ; No
10179..10189  ; So
1018a         ; No
1018b..102ff  ; Cn
10300..1031e  ; Lo
1031f         ; Cn
10320..10323  ; No
10324..1032f  ; Cn
10330..10340  ; Lo
10341         ; Nl
10342..10349  ; Lo
1034a         ; Nl
1034b..1037f  ; Cn
10380..1039d  ; Lo
1039e         ; Cn
1039f         ; Po
103a0..103c3  ; Lo
103c4..103c7  ; Cn
103c8..103cf  ; Lo
103d0         ; Po
103d1..103d5  ; Nl
103d6..103ff  ; Cn
10400..10427  ; Lu
10428..1044f  ; Ll
10450..1049d  ; Lo
1049e..1049f  ; Cn
104a0..104a9  ; Nd
104aa..107ff  ; Cn
10800..10805  ; Lo
10806..10807  ; Cn
10808         ; Lo
10809         ; Cn
1080a..10835  ; Lo
10836         ; Cn
10837..10838  ; Lo
10839..1083b  ; Cn
1083c         ; Lo
1083d..1083e  ; Cn
1083f         ; Lo
10840..108ff  ; Cn
10900..10915  ; Lo
10916..10919  ; No
1091a..1091e  ; Cn
1091f         ; Po
10920..109ff  ; Cn
10a00         ; Lo
10a01..10a03  ; Mn
10a04         ; Cn
10a05..10a06  ; Mn
10a07..10a0b  ; Cn
10a0c..10a0f  ; Mn
10a10..10a13  ; Lo
10a14         ; Cn
10a15..10a17  ; Lo
10a18         ; Cn
10a19..10a33  ; Lo
10a34..10a37  ; Cn
10a38..10a3a  ; Mn
10a3b..10a3e  ; Cn
10a3f         ; Mn
10a40..10a47  ; No
10a48..10a4f  ; Cn
10a50..10a58  ; Po
10a59..11fff  ; Cn
12000..1236e  ; Lo
1236f..123ff  ; Cn
12400..12462  ; Nl
12463..1246f  ; Cn
12470..12473  ; Po
12474..1cfff  ; Cn
1d000..1d0f5  ; So
1d0f6..1d0ff  ; Cn
1d100..1d126  ; So
1d127..1d129  ; Cn
1d12a..1d164  ; So
1d165..1d166  ; Mc
1d167..1d169  ; Mn
1d16a..1d16c  ; So
1d16d..1d172  ; Mc
1d173..1d17a  ; Cf
1d17b..1d182  ; Mn
1d183..1d184  ; So
1d185..1d18b  ; Mn
1d18c..1d1a9  ; So
1d1aa..1d1ad  ; Mn
1d1ae..1d1dd  ; So
1d1de..1d1ff  ; Cn
1d200..1d241  ; So
1d242..1d244  ; Mn
1d245         ; So
1d246..1d2ff  ; Cn
1d300..1d356  ; So
1d357..1d35f  ; Cn
1d360..1d371  ; No
1d372..1d3ff  ; Cn
1d400..1d419  ; Lu
1d41a..1d433  ; Ll
1d434..1d44d  ; Lu
1d44e..1d454  ; Ll
1d455         ; Cn
1d456..1d467  ; Ll
1d468..1d481  ; Lu
1d482..1d49b  ; Ll
1d49c         ; Lu
1d49d         ; Cn
1d49e..1d49f  ; Lu
1d4a0..1d4a1  ; Cn
1d4a2         ; Lu
1d4a3..1d4a4  ; Cn
1d4a5..1d4a6  ; Lu
1d4a7..1d4a8  ; Cn
1d4a9..1d4ac  ; Lu
1d4ad         ; Cn
1d4ae..1d4b5  ; Lu
1d4b6..1d4b9  ; Ll
1d4ba         ; Cn
1d4bb         ; Ll
1d4bc         ; Cn
1d4bd..1d4c3  ; Ll
1d4c4         ; Cn
1d4c5..1d4cf  ; Ll
1d4d0..1d4e9  ; Lu
1d4ea..1d503  ; Ll
1d504..1d505  ; Lu
1d506         ; Cn
1d507..1d50a  ; Lu
1d50b..1d50c  ; Cn
1d50d..1d514  ; Lu
1d515         ; Cn
1d516..1d51c  ; Lu
1d51d         ; Cn
1d51e..1d537  ; Ll
1d538..1d539  ; Lu
1d53a         ; Cn
1d53b..1d53e  ; Lu
1d53f         ; Cn
1d540..1d544  ; Lu
1d545         ; Cn
1d546         ; Lu
1d547..1d549  ; Cn
1d54a..1d550  ; Lu
1d551         ; Cn
1d552..1d56b  ; Ll
1d56c..1d585  ; Lu
1d586..1d59f  ; Ll
1d5a0..1d5b9  ; Lu
1d5ba..1d5d3  ; Ll
1d5d4..1d5ed  ; Lu
1d5ee..1d607  ; Ll
1d608..1d621  ; Lu
1d622..1d63b  ; Ll
1d63c..1d655  ; Lu
1d656..1d66f  ; Ll
1d670..1d689  ; Lu
1d68a..1d6a5  ; Ll
1d6a6..1d6a7  ; Cn
